dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),ctfidf_reduce_frequent_words,hdbscan_cluster_selection_method,hdbscan_metric,hdbscan_min_cluster_size,min_topic_size,umap_metric,umap_min_dist,umap_n_components,umap_n_neighbors,vectorizer_ngram_range,vectorizer_stop_words,vectorizer_tokenizer,Coherence(not optimized),Topic diversity(not optimized),Silhouette Metric(not optimized)
dataset_name,RF,LCB,75,57.38747692108154,-0.5643852152584015,-0.5579569174411362,0.21917077338619415,False,eom,euclidean,4,2,euclidean,0.18892963696467088,3,49,"(1, 1)",english,False,-0.08029668596525247,0.7041666666666667,0.6887192620921299
dataset_name,RF,LCB,76,60.029380083084106,-0.553592762253287,-0.5545501990309738,0.2172943211187927,True,eom,euclidean,5,3,euclidean,0.025961378808817596,3,14,"(1, 1)",english,False,-0.07597446904181374,0.710727969348659,0.699778512110694
dataset_name,RF,LCB,77,48.21411395072937,-0.4931874150375329,-0.4945256350383545,0.27109938129992417,True,eom,euclidean,5,3,cosine,0.18720321779019816,10,39,"(1, 1)",english,False,-0.06949783639215244,0.8,0.7193458580602974
dataset_name,RF,LCB,78,58.725226163864136,-0.5490039754373328,-0.5475298507750922,0.2168073109313681,True,eom,euclidean,5,3,cosine,0.1439031580359291,10,11,"(1, 1)",english,False,-0.07093423382037234,0.7155642023346304,0.6713305500139566
dataset_name,RF,LCB,79,47.71650195121765,-0.5288070475908632,-0.5252800022612655,0.2533400591757277,True,eom,euclidean,5,3,cosine,0.18325257381808366,2,38,"(1, 1)",english,False,-0.08522001171647825,0.7671328671328671,0.6633560841830513
dataset_name,RF,LCB,80,48.580074071884155,-0.5360303468404208,-0.5314742055731806,0.25148811266473203,True,eom,euclidean,5,2,cosine,0.18816583314047153,2,36,"(1, 1)",english,False,-0.08656615431359255,0.7584507042253521,0.6135626608180227
dataset_name,RF,LCB,81,53.520678997039795,-0.5147266971255104,-0.5147723735448656,0.2546166524512372,True,eom,euclidean,4,3,euclidean,0.18668147314686234,10,47,"(1, 1)",english,False,-0.0735846964795438,0.7711656441717791,0.716635350732045
dataset_name,RF,LCB,82,59.947818994522095,-0.5578919445064227,-0.5551832915550446,0.205575101439852,True,eom,euclidean,5,1,cosine,0.11711190749924887,10,10,"(1, 1)",english,False,-0.06253312245182792,0.7042145593869732,0.7080839179120817
dataset_name,RF,LCB,83,56.41274094581604,-0.5428219664980369,-0.5405418647627226,0.22893239268723783,True,eom,euclidean,5,3,euclidean,0.03610226360337357,10,39,"(1, 1)",english,False,-0.07254704416068523,0.7307291666666667,0.6856950176873431
dataset_name,RF,LCB,84,48.65589499473572,-0.4994283679509152,-0.4972047428342657,0.26773884482728866,True,eom,euclidean,5,3,euclidean,0.18537939317615149,8,48,"(1, 1)",english,False,-0.07039509180853017,0.7977611940298508,0.7356656014032892
dataset_name,RF,LCB,85,68.49691009521484,-0.5598072792960016,-0.5516400977549195,0.21607572025911867,True,eom,euclidean,4,3,cosine,0.06584879044456066,10,44,"(1, 1)",english,False,-0.07180934425561403,0.7116465863453815,0.6637817638797365
dataset_name,RF,LCB,86,47.99953007698059,-0.5002090941193295,-0.49988105574845537,0.271630848148009,True,eom,euclidean,5,3,cosine,0.1663678442084489,10,39,"(1, 1)",english,False,-0.07561282017489342,0.7948905109489051,0.7352463167905725
dataset_name,RF,LCB,87,52.10451292991638,-0.5158433895462979,-0.514410930909389,0.25440120886963014,True,eom,euclidean,4,3,euclidean,0.16981204060525842,10,42,"(1, 1)",english,False,-0.07263970522992695,0.7705521472392638,0.7079810034073815
dataset_name,RF,LCB,88,50.94275403022766,-0.4981478096305484,-0.4966641712592254,0.27170573932032294,True,eom,euclidean,5,1,cosine,0.155631661851959,10,50,"(1, 1)",english,False,-0.07215534456923117,0.796969696969697,0.721506692239165
dataset_name,RF,LCB,89,49.81220197677612,-0.5018482333777533,-0.49726279165140475,0.27129225607514174,True,eom,euclidean,5,1,cosine,0.1733921824846898,10,46,"(1, 1)",english,False,-0.07190166888657386,0.8014814814814815,0.7076784729981257
dataset_name,RF,LCB,90,53.52999997138977,-0.5129942584803684,-0.5125160659785565,0.2588866671554319,True,eom,euclidean,4,2,cosine,0.16062004663425444,10,47,"(1, 1)",english,False,-0.07317339397164625,0.7760479041916167,0.7090289232790165
dataset_name,RF,LCB,91,51.39678382873535,-0.503194994861784,-0.501454033269701,0.27053132592231566,True,eom,euclidean,5,1,cosine,0.13407609855911012,10,50,"(1, 1)",english,False,-0.07796555679647428,0.7911764705882353,0.7357426340461634
dataset_name,RF,LCB,92,52.85072112083435,-0.5314551904069424,-0.5292870452366253,0.23674508697525928,False,eom,euclidean,5,3,euclidean,0.16901684680998863,10,47,"(1, 1)",english,False,-0.06872347135573463,0.7480916030534351,0.735492569774938
dataset_name,RF,LCB,93,57.10268688201904,-0.5447991856658605,-0.5431553517564365,0.22553224909230632,False,eom,euclidean,4,3,cosine,0.15896174110333663,10,45,"(1, 1)",english,False,-0.07272575127305253,0.7287425149700599,0.7059222906274577
dataset_name,RF,LCB,94,52.15201997756958,-0.5392434414796083,-0.5371370334409237,0.23136106851019642,False,eom,euclidean,5,1,euclidean,0.18344315283689033,10,38,"(1, 1)",english,False,-0.07211032595426282,0.7321428571428571,0.7234386771844816
dataset_name,RF,LCB,95,50.6637179851532,-0.5013119611883354,-0.49970730637417976,0.27197797359734,True,eom,euclidean,5,2,cosine,0.12153113767116741,10,50,"(1, 1)",english,False,-0.07566256336224039,0.7941605839416058,0.7296860051859414
dataset_name,RF,LCB,96,62.093348026275635,-0.5847609614272746,-0.5702384428263031,0.2115815306299871,False,eom,euclidean,3,3,cosine,0.17522984523085117,10,50,"(1, 1)",english,False,-0.08419915870930349,0.7076555023923445,0.6678408734480898
dataset_name,RF,LCB,97,57.93146085739136,-0.5322471436755034,-0.5325606849709642,0.23105522575765844,True,eom,euclidean,5,3,cosine,0.041066260472689915,10,48,"(1, 1)",english,False,-0.06993598371694255,0.737037037037037,0.6752648817809562
dataset_name,RF,LCB,98,50.09938192367554,-0.498989449310789,-0.5021661189328702,0.26557371331151863,True,eom,euclidean,5,2,cosine,0.11042657370496196,10,47,"(1, 1)",english,False,-0.07323753313191561,0.7892857142857143,0.7478091782524001
